"loan_type_name","property_type_name","loan_purpose_name","owner_occupancy_name","loan_amount_000s","action_taken_name","applicant_ethnicity_name","applicant_race_name_1","applicant_sex_name","applicant_income_000s","lien_status_name","population","minority_population","tract_to_msamd_income","number_of_owner_occupied_units","number_of_1_to_4_family_units","co_applicant"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",35,"0","Not Hispanic or Latino","Black or African American","Female",37,"Secured by a first lien",4083,65.1699981689453,81.5400009155273,622,983,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",191,"1","Not Hispanic or Latino","Black or African American","Female",65,"Secured by a first lien",6791,69.1399993896484,106.51000213623,1347,2332,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",90,"1","Not Hispanic or Latino","White","Female",32,"Secured by a first lien",3835,32.6199989318848,118.910003662109,965,1313,"no"
"Conventional","Manufactured housing","Home purchase","Owner-occupied as a principal dwelling",24,"0","Hispanic or Latino","White","Female",29,"Secured by a first lien",3360,44.939998626709,93.2399978637695,863,1258,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",138,"1","Not Hispanic or Latino","Asian","Male",33,"Secured by a first lien",10021,58.3199996948242,87.8099975585938,1280,2002,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",144,"0","Not Hispanic or Latino","White","Female",57,"Secured by a first lien",5470,61.939998626709,65.9000015258789,814,1475,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",393,"1","Not Hispanic or Latino","White","Female",143,"Secured by a first lien",3361,61.560001373291,229.399993896484,859,1144,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",259,"1","Hispanic or Latino","American Indian or Alaska Native","Male",92,"Secured by a first lien",7621,59.1399993896484,117.720001220703,1519,2485,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",240,"0","Not Hispanic or Latino","White","Female",52,"Secured by a first lien",1849,37.1599998474121,145.330001831055,444,525,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",78,"0","Not Hispanic or Latino","Black or African American","Male",65,"Secured by a first lien",5691,69.5100021362305,82.5599975585938,1044,1677,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",152,"1","Not Hispanic or Latino","Black or African American","Male",39,"Secured by a first lien",5987,34.1399993896484,141.539993286133,1349,2212,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",198,"1","Not Hispanic or Latino","White","Male",58,"Secured by a first lien",2979,41.3600006103516,121.26000213623,650,832,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",610,"1","Not Hispanic or Latino","White","Male",377,"Secured by a first lien",6114,27.1700000762939,144.089996337891,1142,2017,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",255,"1","Not Hispanic or Latino","White","Male",69,"Secured by a first lien",10078,19.9200000762939,103.099998474121,2874,4247,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",133,"1","Not Hispanic or Latino","White","Male",51,"Secured by a first lien",1806,27.5200004577637,90.870002746582,650,1009,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",322,"1","Not Hispanic or Latino","Asian","Male",88,"Secured by a first lien",3246,22.4599990844727,124.769996643066,750,949,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",76,"1","Not Hispanic or Latino","White","Female",45,"Secured by a first lien",5404,54.9599990844727,84.1699981689453,888,1483,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",260,"1","Not Hispanic or Latino","Asian","Male",124,"Secured by a first lien",4850,67.5100021362305,120.569999694824,645,1320,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",581,"0","Not Hispanic or Latino","White","Female",212,"Secured by a first lien",2474,27.5300006866455,194.550003051758,790,975,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",171,"1","Not Hispanic or Latino","White","Male",46,"Secured by a first lien",3109,57.9599990844727,71.2900009155273,433,658,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",69,"0","Not Hispanic or Latino","White","Male",58,"Secured by a first lien",2971,22.0499992370605,164.940002441406,945,1249,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",145,"1","Not Hispanic or Latino","Native Hawaiian or Other Pacific Islander","Female",28,"Secured by a first lien",4147,35.2799987792969,120.669998168945,1093,1474,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",238,"1","Not Hispanic or Latino","White","Female",127,"Secured by a first lien",3920,31.4300003051758,128.589996337891,1085,1332,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",251,"1","Not Hispanic or Latino","White","Male",40,"Secured by a first lien",3657,34.2900009155273,137.330001831055,666,1403,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",142,"1","Not Hispanic or Latino","White","Male",41,"Secured by a first lien",3411,44.8499984741211,103.940002441406,967,1281,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",188,"1","Not Hispanic or Latino","White","Female",47,"Secured by a first lien",5114,70.3600006103516,92.0800018310547,898,1364,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",1320,"0","Not Hispanic or Latino","White","Male",234,"Secured by a first lien",2558,7.96999979019165,178.779998779297,883,2328,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",51,"0","Not Hispanic or Latino","Asian","Female",70,"Secured by a subordinate lien",6504,33.1599998474121,124.870002746582,1247,2240,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",168,"1","Not Hispanic or Latino","White","Male",501,"Secured by a first lien",7756,52.5099983215332,124.860000610352,1184,2031,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",606,"0","Not Hispanic or Latino","Black or African American","Male",377,"Secured by a first lien",8920,26.0300006866455,124.400001525879,2844,3975,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",366,"1","Not Hispanic or Latino","White","Male",148,"Secured by a first lien",5935,28.7099990844727,137.080001831055,2240,2780,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",180,"1","Not Hispanic or Latino","White","Male",45,"Secured by a first lien",5508,51.6699981689453,82.7399978637695,1007,1534,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",247,"0","Hispanic or Latino","White","Male",82,"Secured by a first lien",5166,47.2700004577637,103.650001525879,758,1143,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",247,"1","Hispanic or Latino","White","Male",58,"Secured by a first lien",2598,18.75,97.3600006103516,639,1071,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",130,"1","Not Hispanic or Latino","White","Female",25,"Secured by a first lien",4153,75.6600036621094,100.980003356934,645,927,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",145,"1","Not Hispanic or Latino","White","Male",34,"Secured by a first lien",4840,74.629997253418,70.6699981689453,694,1418,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",133,"1","Not Hispanic or Latino","White","Male",38,"Secured by a first lien",3604,47.7000007629395,65.25,640,1267,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",208,"1","Hispanic or Latino","White","Male",92,"Secured by a first lien",7037,57.6699981689453,96.9899978637695,1305,2838,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",240,"1","Not Hispanic or Latino","White","Male",114,"Secured by a first lien",6080,39.7999992370605,126.550003051758,1104,2271,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",89,"0","Not Hispanic or Latino","White","Male",38,"Secured by a first lien",3132,62.7999992370605,75.4199981689453,588,956,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",50,"0","Hispanic or Latino","White","Female",19,"Secured by a first lien",4840,74.629997253418,70.6699981689453,694,1418,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",166,"0","Not Hispanic or Latino","White","Male",94,"Secured by a first lien",3825,91.6100006103516,39.0999984741211,143,1192,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",137,"1","Not Hispanic or Latino","White","Male",70,"Secured by a first lien",6492,57.1800003051758,77.2399978637695,1255,2665,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",211,"0","Not Hispanic or Latino","White","Male",39,"Secured by a first lien",6489,53.9500007629395,135.600006103516,1028,2368,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",486,"1","Not Hispanic or Latino","White","Female",108,"Secured by a first lien",4600,38.6300010681152,234.850006103516,859,1602,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",358,"1","Not Hispanic or Latino","White","Male",135,"Secured by a first lien",7306,16.3299999237061,138.990005493164,1900,2498,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",280,"1","Not Hispanic or Latino","White","Male",82,"Secured by a first lien",6699,32.4799995422363,156.149993896484,1799,2279,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",179,"1","Hispanic or Latino","White","Male",34,"Secured by a first lien",3338,29.6000003814697,120.220001220703,781,1080,"no"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",185,"0","Not Hispanic or Latino","White","Male",43,"Secured by a first lien",8382,58.2400016784668,99.1900024414062,1263,2127,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",198,"0","Not Hispanic or Latino","White","Female",75,"Secured by a first lien",4815,34.2299995422363,142.5,1039,1680,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Not owner-occupied as a principal dwelling",375,"1","Not Hispanic or Latino","Asian","Male",138,"Secured by a first lien",5263,21.8700008392334,130.919998168945,1588,2144,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",293,"1","Not Hispanic or Latino","White","Female",115,"Secured by a first lien",4055,43.0299987792969,126.870002746582,1013,1633,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",283,"1","Not Hispanic or Latino","White","Female",106,"Secured by a first lien",4130,58.5699996948242,157.360000610352,892,1352,"yes"
"VA-guaranteed","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",310,"1","Not Hispanic or Latino","White","Female",134,"Secured by a first lien",8209,44.7599983215332,112.269996643066,1822,2564,"yes"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",245,"1","Hispanic or Latino","White","Female",69,"Secured by a first lien",4812,41.8300018310547,129.960006713867,1157,1848,"yes"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",280,"1","Hispanic or Latino","White","Male",52,"Secured by a first lien",5680,42.25,118.129997253418,1691,2134,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",50,"1","Not Hispanic or Latino","White","Male",26,"Secured by a first lien",5049,62.75,80.7799987792969,808,1179,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",187,"1","Hispanic or Latino","White","Female",43,"Secured by a first lien",4522,52.1699981689453,94.620002746582,1038,1522,"no"
"FHA-insured","One-to-four family dwelling (other than manufactured housing)","Refinancing","Owner-occupied as a principal dwelling",157,"0","Not Hispanic or Latino","Asian","Female",33,"Secured by a first lien",3910,75.2699966430664,72.75,628,1090,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home improvement","Owner-occupied as a principal dwelling",100,"0","Not Hispanic or Latino","Asian","Female",65,"Secured by a first lien",4321,52,117.440002441406,1083,1663,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",244,"0","Not Hispanic or Latino","White","Female",75,"Secured by a first lien",5634,44.6599998474121,109,1224,2050,"no"
"Conventional","One-to-four family dwelling (other than manufactured housing)","Home purchase","Owner-occupied as a principal dwelling",200,"1","Not Hispanic or Latino","Asian","Male",39,"Secured by a first lien",3825,47.8699989318848,94.129997253418,970,1374,"no"
